Subject,Trial,SSonLorR,RT,startingK,endingK,TrialStart,ITI,choiceUp,choiceMade,TrialOver,SSamount,LLamount,Condition,Choice,SSdelay,LLdelay,salienceCondition,day,runid,TaskInterval,RewardTrialRanked,Construal_QuestionText,Construal_AnswerText,Construal_Condition
2061,1,R,,,,,2.08183883475,,,,25,30,1,,8,,1,1,4,0.549065977027,6,Why consume caffeine?, Stay alert.,2
2061,2,R,,,,,1.48159814249,,,,25,30,1,,9,,1,1,4,1.14238825654,10,Why consume medicine?, Reduce pain.,2
2061,3,L,,,,,2.38773138838,,,,25,30,1,,6,,1,1,4,0.979313742852,7,Why save money?, Get fit.,3
2061,4,L,,,,,3.57615456649,,,,25,30,1,,4,,1,1,4,0.838726762541,8,Why finish a job?, Feel productive.,3
2061,5,L,,,,,1.38102058889,,,,25,30,1,,1,,1,1,4,0.671306304566,3,How to gain knowledge?, Read articles.,5
2061,6,R,,,,,1.28650339346,,,,25,30,1,,5,,1,1,4,0.829978312704,5,How to express doubt?, Use scissors.,5
2061,7,L,,,,,1.26990026279,,,,25,30,1,,3,,1,1,4,0.577758250981,1,How to take a picture?, Point a camera.,4
2061,8,R,,,,,1.65638402874,,,,25,30,1,,2,,1,1,4,0.548410175747,9,How to go shopping?, Use credit cards.,4
2061,9,R,,,,,2.83784550436,,,,25,30,1,,3,,1,1,4,1.1381789522,4,How to support a cause?, Give to charity.,6
2061,10,L,,,,,3.90397012453,,,,25,30,1,,7,,1,1,4,1.28131631831,2,How to show humility?, Build muscles.,6
2061,11,L,,,,,1.94241336652,,,,25,30,1,,6,,1,1,4,2.05243438046,0,Why cut paper?, Clip coupons.,1
2061,12,R,,,,,0.699941940963,,,,25,30,1,,2,,1,1,4,0.892252019061,11,Why open a bottle?, Consume medicine.,1
