Subject,Trial,SSonLorR,RT,startingK,endingK,TrialStart,ITI,choiceUp,choiceMade,TrialOver,SSamount,LLamount,Condition,Choice,SSdelay,LLdelay,salienceCondition,day,runid,TaskInterval,RewardTrialRanked,Construal_QuestionText,Construal_AnswerText,Construal_Condition
2168,1,R,,,,,2.11586410798,,,,25,30,1,,5,,1,1,3,1.555074917,2,How to consume medicine?, Take pills. ,4
2168,2,L,,,,,0.747572425934,,,,25,30,1,,3,,1,1,3,0.830887693026,11,How to give a lecture?, Brush ones hair.,4
2168,3,R,,,,,3.96623657904,,,,25,30,1,,7,,1,1,3,0.939044522231,9,Why make a list?, Plan ahead.,2
2168,4,R,,,,,0.578274168747,,,,25,30,1,,6,,1,1,3,0.650206223244,10,Why make a phone call?, Contact a friend.,2
2168,5,L,,,,,5.80038416766,,,,25,30,1,,4,,1,1,3,0.547009641041,4,How to contact a friend?, Make a phone call.,5
2168,6,L,,,,,0.875688004992,,,,25,30,1,,2,,1,1,3,1.75072836708,5,How to show ambition?, Serve alcohol.,5
2168,7,L,,,,,0.618377059472,,,,25,30,1,,9,,1,1,3,0.963610277758,8,Why show competence?, Pass the time.,3
2168,8,R,,,,,1.09360370316,,,,25,30,1,,8,,1,1,3,1.42319172566,6,Why gain knowledge?, Improve oneself.,3
2168,9,R,,,,,0.624171821404,,,,25,30,1,,8,,1,1,3,0.515605362047,0,How to show creativity?, Make art.,6
2168,10,L,,,,,1.52441073522,,,,25,30,1,,3,,1,1,3,1.51011752138,7,How to reduce worry?, Plan ahead.,6
2168,11,R,,,,,5.39896687716,,,,25,30,1,,9,,1,1,3,0.612654698111,1,Why take aspirin?, Serve alcohol.,1
2168,12,L,,,,,0.823098549199,,,,25,30,1,,2,,1,1,3,1.33659508441,3,Why wash ones hands?, Kill germs.,1
