Subject,Trial,SSonLorR,RT,startingK,endingK,TrialStart,ITI,choiceUp,choiceMade,TrialOver,SSamount,LLamount,Condition,Choice,SSdelay,LLdelay,salienceCondition,day,runid,TaskInterval,RewardTrialRanked,Construal_QuestionText,Construal_AnswerText,Construal_Condition
2197,1,R,,,,,0.801892103591,,,,25,30,1,,8,,1,1,4,0.877957553917,0,How to show humility?, Build muscles.,6
2197,2,R,,,,,5.9388144998,,,,25,30,1,,5,,1,1,4,0.698955529652,2,How to feel nostalgia?, Keep a memory.,6
2197,3,L,,,,,2.32244288079,,,,25,30,1,,7,,1,1,4,0.647531973357,5,How to consume alcohol?, Drink wine.,5
2197,4,L,,,,,3.03821648277,,,,25,30,1,,9,,1,1,4,0.612594574839,8,How to teach others?, Give a lecture.,5
2197,5,R,,,,,1.93130188275,,,,25,30,1,,2,,1,1,4,1.31158713823,1,Why show courtesy?, Make a friend.,3
2197,6,L,,,,,1.50819122806,,,,25,30,1,,3,,1,1,4,1.30294141668,6,Why hold a party?, Feel sociable.,3
2197,7,R,,,,,3.11428465426,,,,25,30,1,,1,,1,1,4,0.791917542353,10,Why lift weights?, Build muscles.,2
2197,8,R,,,,,1.08857866172,,,,25,30,1,,6,,1,1,4,1.1818570037,9,Why kill germs?, Avoid diseases.,2
2197,9,L,,,,,0.58662823206,,,,25,30,1,,8,,1,1,4,1.4743785534,3,Why wash ones hands?, Kill germs.,1
2197,10,L,,,,,1.62524800889,,,,25,30,1,,1,,1,1,4,0.651088574715,11,Why wear ties?, Dress formally.,1
2197,11,R,,,,,0.584235516092,,,,25,30,1,,9,,1,1,4,1.15445617868,4,How to consume medicine?, Take pills. ,4
2197,12,L,,,,,1.05801986976,,,,25,30,1,,2,,1,1,4,1.00132116049,7,How to go shopping?, Use credit cards.,4
