Subject,Trial,SSonLorR,RT,startingK,endingK,TrialStart,ITI,choiceUp,choiceMade,TrialOver,SSamount,LLamount,Condition,Choice,SSdelay,LLdelay,salienceCondition,day,runid,TaskInterval,RewardTrial,Construal_QuestionText,Construal_AnswerText,Construal_Condition
2009,1,2,,,,,1.93943725519,,,,,31,1,,5,90,0,3,1,0.975046243597,0,How to save money?, Clip coupons.,5
2009,2,2,,,,,4.00230883321,,,,,39,1,,5,90,0,3,1,0.561546086368,0,Why avoid diseases?, Live a long life.,3
2009,3,1,,,,,1.80788938397,,,,,20,1,,5,90,0,3,1,0.630731540984,0,How to dress formally?, Wear ties. ,4
2009,4,2,,,,,0.613727516714,,,,,22,1,,5,90,0,3,1,1.94452337353,0,Why sign ones name?, Write a check.,1
2009,5,2,,,,,1.78014766225,,,,,24,1,,5,90,0,3,1,2.51088599895,0,How to avoid boredom?, Entertain oneself.,6
2009,6,1,,,,,4.66412823604,,,,,23,1,,5,90,0,3,1,1.01595019831,0,Why teach a class?, Obey laws.,2
2009,7,2,,,,,1.26521512491,,,,,29,1,,5,90,0,3,1,0.579300137023,0,How to attend a school?, Enter a classroom.,5
2009,8,2,,,,,1.04773595881,,,,,28,1,,5,90,0,3,1,1.07145922889,0,Why use a camera?, Give to charity.,2
2009,9,2,,,,,3.91978863891,,,,,34,1,,5,90,0,3,1,0.57951170925,0,Why clap hands?, Give applause.,1
2009,10,1,,,,,0.783049856037,,,,,27,1,,5,90,0,3,1,0.617462659745,0,Why gain knowledge?, Improve oneself.,3
2009,11,1,,,,,0.929057138908,,,,,33,1,,5,90,0,3,1,0.63208265877,0,How to spread knowledge?, Teach others.,6
2009,12,1,,,,,1.71559914579,,,,,38,1,,5,90,0,3,1,0.52532102887,0,How to write a check?, Sign ones name.,4
2009,13,2,,,,,0.620621266611,,,,,25,1,,5,90,0,3,1,0.60312404581,0,How to spread joy?, Get a job.,6
2009,14,1,,,,,1.01621366294,,,,,37,1,,5,90,0,3,1,0.513727543288,0,Why dress formally?, Get a promotion.,2
2009,15,1,,,,,3.64660010611,,,,,36,1,,5,90,0,3,1,1.08648640895,0,Why make a purchase?, Satisfy a need.,3
2009,16,2,,,,,2.11277754185,,,,,35,1,,5,90,0,3,1,0.767108469944,0,How to provide food?, Prepare meals.,5
2009,17,2,,,,,0.524923034161,,,,,40,1,,5,90,0,3,1,1.1647666256,0,Why crack eggs?, Make breakfast.,1
2009,18,2,,,,,3.80044327378,,,,,21,1,,5,90,0,3,1,0.714067861654,0,How to consume caffeine?, Press buttons.,4
2009,19,1,,,,,0.54066201565,,,,,30,1,,5,90,0,3,1,0.622456212634,0,How to lift weights?, Fasten seatbelt.,4
2009,20,2,,,,,1.34868089004,,,,,26,1,,5,90,0,3,1,0.688230328868,0,Why open a bottle?, Consume medicine.,1
2009,21,2,,,,,2.68584458356,,,,,38,1,,5,90,0,3,1,0.74598846197,0,Why contact a friend?, Feel connected.,3
2009,22,1,,,,,0.823162293806,,,,,33,1,,5,90,0,3,1,0.745868957172,0,Why consume medicine?, Reduce pain.,2
2009,23,2,,,,,4.50067681091,,,,,22,1,,5,90,0,3,1,0.508982666433,0,How to avoid mistakes?, Obey laws.,6
2009,24,1,,,,,1.11740052035,,,,,35,1,,5,90,0,3,1,1.58501616955,0,How to reduce pain?, Consume medicine.,5
2009,25,2,,,,,1.34494492533,,,,,20,1,,5,90,0,3,1,1.3313854285,0,How to make art?, Paint a picture.,5
2009,26,1,,,,,3.69691938138,,,,,36,1,,5,90,0,3,1,2.75361185236,0,How to feel secure?, Save money.,6
2009,27,2,,,,,0.69251922153,,,,,34,1,,5,90,0,3,1,0.886123081305,0,Why open a magazine?, Read articles.,1
2009,28,1,,,,,1.43938891945,,,,,21,1,,5,90,0,3,1,0.836608002998,0,Why clip coupons?, Save money.,2
2009,29,2,,,,,3.58335048307,,,,,31,1,,5,90,0,3,1,1.26313469397,0,How to write a poem?, Grab a pencil.,4
2009,30,2,,,,,0.784093592207,,,,,23,1,,5,90,0,3,1,2.09736543886,0,Why get a promotion?, Achieve success.,3
2009,31,1,,,,,1.05508181869,,,,,26,1,,5,90,0,3,1,1.93035394783,0,How to make a list?, Throw away trash.,4
2009,32,1,,,,,2.39512480855,,,,,24,1,,5,90,0,3,1,0.825995991521,0,Why cut paper?, Clip coupons.,1
2009,33,1,,,,,0.573156979467,,,,,25,1,,5,90,0,3,1,0.903082091523,0,How to feel productive?, Finish a job.,6
2009,34,1,,,,,0.691047117215,,,,,29,1,,5,90,0,3,1,0.907911858106,0,Why attend a school?, Get a degree.,3
2009,35,2,,,,,5.61609493942,,,,,28,1,,5,90,0,3,1,0.944945313324,0,Why go shopping?, Make a purchase.,2
2009,36,1,,,,,1.5664619691,,,,,39,1,,5,90,0,3,1,1.15282149924,0,How to entertain others?, Write a song.,5
2009,37,1,,,,,3.83674067112,,,,,30,1,,5,90,0,3,1,0.522796125484,0,How to impress others?, Show intelligence.,6
2009,38,1,,,,,2.83260264024,,,,,37,1,,5,90,0,3,1,1.53676865353,1,Why wear ties?, Dress formally.,1
2009,39,1,,,,,0.981748365009,,,,,32,1,,5,90,0,3,1,0.72458508964,0,Why open a browser?, Write an email.,2
2009,40,2,,,,,1.15428851705,,,,,27,1,,5,90,0,3,1,0.855256460905,0,How to show ambition?, Serve alcohol.,5
