Subject,Trial,SSonLorR,RT,startingK,endingK,TrialStart,ITI,choiceUp,choiceMade,TrialOver,SSamount,LLamount,Condition,Choice,SSdelay,LLdelay,salienceCondition,day,runid,TaskInterval,RewardTrial,Construal_QuestionText,Construal_AnswerText,Construal_Condition
2005,1,1,,,,,1.70320083422,,,,,33,1,,5,90,0,1,1,4.54092827165,0,How to satisfy a need?, Make a purchase.,6
2005,2,1,,,,,1.01574174337,,,,,28,1,,5,90,0,1,1,1.96546676557,0,How to avoid mistakes?, Obey laws.,6
2005,3,2,,,,,1.05914492961,,,,,23,1,,5,90,0,1,1,1.01776116916,0,How to consume alcohol?, Drink wine.,5
2005,4,1,,,,,1.60781973689,,,,,39,1,,5,90,0,1,1,2.46376923375,0,How to express doubt?, Use scissors.,5
2005,5,2,,,,,3.78813884254,,,,,24,1,,5,90,0,1,1,1.09300194102,0,How to make breakfast?, Crack eggs.,4
2005,6,2,,,,,1.30093834851,,,,,30,1,,5,90,0,1,1,2.18931047633,0,How to take a picture?, Point a camera.,4
2005,7,1,,,,,1.1136072787,,,,,31,1,,5,90,0,1,1,1.43753129454,0,Why clap hands?, Give applause.,1
2005,8,1,,,,,1.05156175726,,,,,36,1,,5,90,0,1,1,1.96315174927,0,Why use a brush?, Paint a picture.,1
2005,9,2,,,,,1.18807329884,,,,,22,1,,5,90,0,1,1,1.27931447214,0,Why show appreciation?, Spread joy.,3
2005,10,1,,,,,1.51887144725,,,,,25,1,,5,90,0,1,1,1.75040941273,0,Why keep a memory?, Feel nostalgia.,3
2005,11,1,,,,,1.1194836183,,,,,21,1,,5,90,0,1,1,3.36556296785,0,Why make breakfast?, Satisfy hunger.,2
2005,12,1,,,,,1.68367962447,,,,,40,1,,5,90,0,1,1,3.7528928468,0,Why make a phone call?, Contact a friend.,2
2005,13,1,,,,,1.88918727918,,,,,32,1,,5,90,0,1,1,2.42266644175,0,Why point a camera?, Take a picture.,1
2005,14,2,,,,,1.61893718643,,,,,26,1,,5,90,0,1,1,2.77438294084,0,Why use chalk?, Get fit.,1
2005,15,2,,,,,2.30597189343,,,,,38,1,,5,90,0,1,1,1.13680649623,0,How to drink wine?, Open a bottle. ,4
2005,16,1,,,,,1.4757434767,,,,,34,1,,5,90,0,1,1,2.66392440706,0,How to go shopping?, Use credit cards.,4
2005,17,2,,,,,1.23692741826,,,,,27,1,,5,90,0,1,1,1.07012151392,0,How to give to charity?, Use a camera.,5
2005,18,2,,,,,1.85825890521,,,,,20,1,,5,90,0,1,1,1.37041791525,0,How to write an email?, Open a browser.,5
2005,19,1,,,,,1.14636981216,,,,,35,1,,5,90,0,1,1,1.30864927671,0,Why share ideas?, Show intellect.,3
2005,20,2,,,,,1.18661724966,,,,,29,1,,5,90,0,1,1,3.74302475401,0,Why reduce pain?, Feel well.,3
2005,21,2,,,,,1.71947536834,,,,,21,1,,5,90,0,1,1,1.00865987188,0,Why write a song?, Seek advice.,2
2005,22,1,,,,,2.22607241189,,,,,30,1,,5,90,0,1,1,1.65554425225,0,Why make a list?, Plan ahead.,2
2005,23,1,,,,,2.32331205662,,,,,39,1,,5,90,0,1,1,1.02525011647,0,How to feel nostalgia?, Keep a memory.,6
2005,24,2,,,,,2.26762447658,,,,,22,1,,5,90,0,1,1,3.3424743004,0,How to feel well?, Reduce pain.,6
2005,25,1,,,,,5.74815916799,,,,,24,1,,5,90,0,1,1,1.38606947353,0,Why drink wine?, Consume alcohol.,2
2005,26,2,,,,,1.11505731499,,,,,34,1,,5,90,0,1,1,2.5489637961,0,Why consume caffeine?, Stay alert.,2
2005,27,1,,,,,2.3636890191,,,,,32,1,,5,90,0,1,1,1.16511511297,0,How to open a browser?, Click a mouse.,4
2005,28,2,,,,,2.14694466447,,,,,20,1,,5,90,0,1,1,1.34661154742,0,How to lift weights?, Fasten seatbelt.,4
2005,29,1,,,,,2.33963447541,,,,,37,1,,5,90,0,1,1,1.40214337427,0,How to plan ahead?, Make a list.,5
2005,30,2,,,,,3.38907045725,,,,,31,1,,5,90,0,1,1,2.44599030849,1,How to save money?, Clip coupons.,5
2005,31,1,,,,,3.85316482739,,,,,28,1,,5,90,0,1,1,1.22765093994,0,Why make art?, Show creativity.,3
2005,32,2,,,,,3.15252853432,,,,,38,1,,5,90,0,1,1,1.84315007496,0,Why save money?, Get fit.,3
2005,33,2,,,,,1.96835594482,,,,,35,1,,5,90,0,1,1,1.35888951746,0,How to show intellect?, Share ideas.,6
2005,34,2,,,,,1.57852845306,,,,,29,1,,5,90,0,1,1,1.95188413718,0,How to show creativity?, Make art.,6
2005,35,1,,,,,2.95202337157,,,,,25,1,,5,90,0,1,1,2.60591850917,0,Why wear ties?, Dress formally.,1
2005,36,2,,,,,1.70506562031,,,,,23,1,,5,90,0,1,1,1.80296727977,0,Why open a bottle?, Consume medicine.,1
